Designator,Mid X,Mid Y,Rotation,Layer
C31,151.1,-83.4,90.0,top
C32,179.5,-65.8,270.0,top
C33,151.1,-72.5,270.0,top
C34,179.5,-88.85,90.0,top
F1,141.25,-68.75,0.0,top
F2,141.5,-86.25,0.0,top
F3,165.7123,-78.2,0.0,top
J1,185.7,-102.2,180.0,top
J25,133.95,-46.27125,180.0,top
J26,133.7505,-109.74125,0.0,top
J27,113.27125,-89.7505,270.0,top
J28,113.25875,-66.2505,270.0,top
J4,185.9,-78.0,180.0,top
J7,185.9,-53.8,180.0,top
PS3,159.5,-102.6875,270.0,top
PS4,159.25,-53.0075,270.0,top
R51,157.5,-104.5,0.0,bottom
R52,158.0,-55.2,0.0,bottom
TP24,130.5,-42.5,0.0,bottom
TP3,182.2375,-110.4,180.0,top
TP4,174.5,-78.0,90.0,top
TP5,182.3,-46.6,180.0,top
TP6,109.5,-92.0,90.0,bottom
TP7,108.25,-64.5,90.0,bottom
TP8,139.5,-99.0,0.0,bottom
U2,127.295,-65.75,270.0,top
U3,127.25,-90.29,90.0,top
