Designator,Mid X,Mid Y,Rotation,Layer
C1,85.05,-94.0,180.0,top
C10,95.6125,-106.485,90.0,top
C11,85.2125,-106.2475,90.0,top
C12,84.7625,-132.7625,90.0,top
C13,78.2,-104.0,270.0,top
C14,80.6,-122.1,90.0,top
C15,91.9625,-94.2475,180.0,top
C16,91.7625,-120.6,180.0,top
C17,91.9625,-97.7975,180.0,top
C18,91.7625,-123.9625,180.0,top
C19,110.0,-100.4,0.0,top
C2,84.7625,-117.4,180.0,top
C20,108.5,-125.4,0.0,top
C21,113.0,-114.6,270.0,top
C22,116.0,-114.6,270.0,top
C23,129.4,-95.5,0.0,bottom
C24,131.9,-95.5,180.0,bottom
C25,128.2,-97.2,270.0,bottom
C26,133.8,-97.8,180.0,bottom
C27,131.8,-89.8,0.0,top
C28,139.4,-101.6,270.0,bottom
C29,138.6,-110.0,0.0,bottom
C3,85.05,-96.6,180.0,top
C30,127.2,-111.8,90.0,bottom
C31,125.4,-100.4,180.0,bottom
C33,125.0,-98.6,180.0,bottom
C34,147.4,-91.6,0.0,bottom
C35,104.4,-115.2,90.0,bottom
C36,138.165,-113.2,0.0,bottom
C37,138.965,-111.6,0.0,bottom
C38,136.4,-126.8,0.0,top
C39,131.0,-118.15,0.0,top
C4,84.7625,-119.9625,180.0,top
C40,130.2,-119.75,0.0,top
C41,130.2,-126.55,0.0,top
C42,130.2,-128.15,0.0,top
C43,110.0,-96.9,0.0,bottom
C44,124.2,-115.4,0.0,top
C45,124.2,-111.8,0.0,top
C46,113.6,-101.1,0.0,bottom
C47,125.8,-120.2,90.0,top
C48,119.4,-105.8,0.0,top
C49,125.738,-123.537,0.0,top
C5,89.2,-106.275,180.0,top
C50,120.8,-103.6,180.0,top
C51,117.6,-101.0,270.0,bottom
C52,117.6,-96.6,90.0,bottom
C53,121.538,-123.537,180.0,top
C54,124.8,-103.6,0.0,top
C55,114.0,-126.9,0.0,bottom
C56,116.9,-122.0,90.0,bottom
C57,113.475,-130.0,180.0,bottom
C58,116.9,-126.2,270.0,bottom
C6,92.5625,-133.1625,270.0,top
C7,93.0125,-106.4475,270.0,top
C8,95.5625,-133.1625,90.0,top
C9,88.5625,-132.3625,180.0,top
D1,80.4,-102.45,270.0,top
D2,80.65,-125.7,0.0,top
D3,93.6,-90.4,180.0,top
D4,93.6,-116.4,180.0,top
D5,109.45,-103.1,180.0,top
D6,107.9,-122.7,180.0,top
D7,136.4,-130.136301,90.0,top
F1,73.01,-97.8,0.0,top
F2,73.0,-128.0,180.0,top
FB1,124.6,-96.6,0.0,bottom
FB2,130.0,-129.75,180.0,top
IC1,108.75,-106.45,270.0,top
IC2,108.65,-119.3,90.0,top
IC3,101.65,-113.0,0.0,bottom
IC4,136.4,-119.8,270.0,top
IC5,114.5,-98.2,180.0,bottom
IC6,122.85,-120.337,270.0,top
IC7,122.95,-106.937,90.0,top
IC8,113.737,-124.087,180.0,bottom
J1,145.2,-94.2,270.0,top
J10,136.4,-135.736301,180.0,top
J11,146.6,-122.0,0.0,top
J12,122.4,-88.25,0.0,top
J13,121.9,-136.45,0.0,top
J14,121.4,-97.2,90.0,top
J15,121.35,-128.8,90.0,top
J18,147.7,-101.05,90.0,top
J2,141.8,-88.435,90.0,top
J3,70.95,-108.4,90.0,top
J5,78.8,-133.65,180.0,top
J6,78.8,-92.4,0.0,top
J7,71.0,-117.4,90.0,top
L1,101.2,-130.2,270.0,top
L2,101.2,-104.3975,270.0,top
PS1,130.4,-123.2,270.0,top
R1,94.7,-101.0975,90.0,top
R10,92.8,-118.0,0.0,top
R11,130.6,-96.8,180.0,bottom
R12,144.4,-91.6,0.0,bottom
R13,118.4,-104.75,90.0,bottom
R14,145.4,-106.25,90.0,bottom
R15,118.4,-108.0,270.0,bottom
R16,145.4,-109.5,270.0,bottom
R17,107.2,-113.0,90.0,bottom
R18,138.0,-124.8,0.0,top
R19,134.8,-124.8,0.0,top
R2,93.5,-101.1,270.0,top
R20,113.8,-95.3,0.0,bottom
R21,120.0,-120.8,90.0,top
R22,126.4,-107.6,180.0,top
R23,113.6,-121.2,0.0,bottom
R3,94.2,-127.0025,270.0,top
R4,93.0,-127.0,90.0,top
R5,84.6,-103.2,0.0,top
R6,84.4,-129.2,0.0,top
R7,95.8,-98.2,270.0,top
R8,95.7,-124.1,270.0,top
R9,93.0125,-91.8725,0.0,top
S1,131.0,-88.2,180.0,top
TP10,109.6,-116.0,0.0,top
TP11,74.0,-106.5,270.0,bottom
TP14,76.8,-130.4,0.0,bottom
TP15,80.6,-95.5,0.0,bottom
TP16,76.7,-95.6,180.0,bottom
TP17,74.3,-115.9,90.0,bottom
TP9,109.6,-109.8,0.0,top
U1,88.862499,-102.0475,180.0,top
U2,88.5625,-128.1625,180.0,top
U3,132.0,-105.175,180.0,bottom
Y1,130.6,-93.0,0.0,bottom
