Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C30, C31, C35, C9",0805,5,1uF @50V,
"C11, C18, C50, C52, C54",0603,5,1uF,
"C12, C13, C25, C48, C49, C51, C53",0603,7,100nF @50V,
"C14, C40",CP_Radial_D10.0mm_P5.00mm,2,330uF@50v,
C15,1210,1,10uF@50V,
"C16, C17",0805,2,4.7uF,
C19,0603,1,330pF,
C20,0603,1,22nF,
C21,0805,1,1uF,
"C22, C36, C37",1210,3,47uF@16V,
"C23, C24, C32",1210,3,10uF @50V,
"C26, C27, C33, C38, C39, C47",0402,6,100nF @50V,
"C28, C29, C34",0603,3,1nF,
"D1, D2",SOT-23,2,BAS21,
"D6, D9",DIONM5436X244N,2,SMBJ15CA,
D7,DIOM7959X262N,1,SSC53L-E3_57T,
F1,0154005DRL,1,0154005.DRL,
FB1,BEADC2012X105N,1,BLM21PG221SN1D,
"H5, H7, H8",MountingHole_2.2mm_M2_ISO7380,3,MountingHole_Pad,
H6,MountingHole_2.2mm_M2_Pad_Via,1,MountingHole_Pad,
IC1,SOT65P280X110-8N,1,TCAN1044VDDFR,
"IC10, IC8, IC9",TPS22997RYZR,3,TPS22997RYZR,
"IC2, IC3",SOP65P640X120-17N,2,TPS1HB08BQPWPRQ1,
IC4,SOT65P280X110-8N,1,INA232AIDDFR,
IC5,QFN50P300X300X100-17N-D,1,TCA6408ARGTR,
"J10, J4, J7",S2BPHSM4TBLFSN,3,S2B-PH-SM4-TB_LF__SN_,
J11,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Conn_01x02,
"J12, J5, J8",S3BPHSM4TBLFSN,3,S3B-PH-SM4-TB_LF__SN_,
"J33, J34, J36, J37",JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,4,Conn_01x02,
J6,S4B-PH-SM4-TB,1,S4B-PH-SM4-TB_LF__SN_,
J9,S6B-PH-SM4-TB_LF__SN__3,1,S6B-PH-SM4-TB_LF__SN_,
L1,XAL7070472MEC,1,XAL7070-472MEC,
"Q1, Q2",SOIC127P600X175-8N,2,RSS070N05HZGTB,
R1,WSHM2818R0330FEB,1,WSHM28186L800FEA,
"R10, R11, R15, R16, R3, R4, R8, R9",0603,8,15k,
"R12, R5, R62",0603,3,1K,
"R13, R6",0603,2,4.7k,
"R14, R7",0603,2,13.3k,
R17,0603,1,301K,
"R18, R28",0603,2,100K,
"R19, R20, R21",0402,3,10k,
R2,0603,1,120r,
"R22, R27",0603,2,102K,
R25,0603,1,16.9K,
R26,0603,1,48.7k,
R29,0603,1,31.6K,
"R42, R44",0603,2,10M,
"R43, R45",0603,2,2k,
R53,0603,1,10K,
"R54, R55",0603,2,2K4,
"R56, R57",0603,2,4k7,
S1,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,OS102011MA1QN1,
"TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.0mm,7,TestPoint,
U1,ESP32-WROOM-32UE,1,ESP32-WROOM-32UE-R2,
U4,SOT-223-4_DCY_TEX,1,PLM1117120QDCYRQ1,
U5,RYQ0021A-MFG,1,XTPS552892RYQR,
U7,SOT-23-6,1,USBLC6-2SC6,
